Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 3,2,Mergarejo Hernandez Osniel Lazaro,-,OH,1,1,0,0,-,-20,1,0,3,4,25,0,0,0,0,-,0,3,3,6,-50,0,0,2,2,0,1,0,1,100,0,0,2,2,0
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 3,3,Cardenas Morales Julio Cesar,-,OH,0,0,0,0,-,-100,0,0,0,0,-,0,0,0,0,-,0,1,0,1,-100,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 3,4,Sanchez Bozhuleva Michael,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 3,5,Concepcion Rojas Javier Octavio,-,MB,4,2,1,1,-,42.86,2,0,0,2,100,1,0,0,1,100,1,1,2,4,0,0,0,0,0,-,1,0,1,100,0,0,1,1,0
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 3,7,Garcia Alvarez Yonder Roman,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,2,1,2,5,20,4,0,4,100,0,0,1,1,0
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 3,10,Gutierrez Suarez Miguel David,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 3,11,Taboada Diaz Lyvan,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 3,12,Herrera Jaime Jesus,-,O,2,2,0,0,-,-9.09,2,2,4,8,0,0,0,0,0,-,0,1,2,3,-33.33,0,0,0,0,-,1,0,1,100,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 3,14,Goide Arredondo Adrian Eduardo,-,S,1,1,0,0,-,-14.29,1,0,1,2,50,0,0,2,2,0,0,2,1,3,-66.67,0,0,0,0,-,2,0,2,100,0,0,17,17,0
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 3,17,Alonso Arce Roamy Raul,-,L,2,2,0,0,-,14.29,2,0,1,3,66.67,0,0,1,1,0,0,1,2,3,-33.33,0,0,0,0,-,1,0,1,100,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 3,18,Lopez Castro Miguel Angel,C,OH,5,5,0,0,-,45.45,5,0,0,5,100,0,0,1,1,0,0,0,5,5,0,1,0,5,6,16.67,1,0,2,50,0,0,1,1,0
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 3,23,Yant Herrera Marlon,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,1,Im Donghyeok,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,2,Han Sun-Soo,C,S,1,0,1,0,-,-7.41,0,1,1,2,-50,1,0,3,4,25,0,2,19,21,-9.52,0,1,1,2,-50,6,0,6,100,0,0,114,114,0
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,3,Hwang Kyungmin,-,OH,7,7,0,0,-,7.69,7,2,6,15,33.33,0,1,1,2,-50,0,2,7,9,-22.22,0,0,8,8,0,7,0,7,100,0,0,4,4,0
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,4,Jeong Minsu,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,4,2,21,27,7.41,9,0,9,100,0,0,9,9,0
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,5,Park Kyeongmin,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,6,Hwang Taekeui,-,S,1,0,0,1,-,50,0,0,0,0,-,0,0,0,0,-,1,0,1,2,50,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,7,Park Jin-Woo,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,8,Kim Kyumin,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
