Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Receiver points won,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2022,Men,3,2022/7/29,Quarter_Finals,Seoul,Korea,Tunisia,Czech Republic,1,3,16,25,26,16,-,25,17,28,25,-,4,-,-,10,8,2,0,-,8,8,14,30,2,2,0,4,0,3,14,17,1,2,17,20,14,0,14,0,1,28,29
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Chile,Cuba,0,3,20,19,19,-,-,25,25,25,-,-,ALL,-,-,28,21,1,6,-,21,9,28,58,1,1,10,12,6,15,38,59,8,11,33,52,23,0,26,0,3,59,62
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Chile,Cuba,0,3,20,19,19,-,-,25,25,25,-,-,1,-,-,9,8,0,1,-,8,2,8,18,0,0,4,4,1,4,15,20,2,5,11,18,8,0,9,0,1,19,20
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Chile,Cuba,0,3,20,19,19,-,-,25,25,25,-,-,2,-,-,11,6,1,4,-,6,5,8,19,1,0,2,3,4,5,11,20,1,5,12,18,7,0,8,0,0,20,20
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Chile,Cuba,0,3,20,19,19,-,-,25,25,25,-,-,3,-,-,8,7,0,1,-,7,2,12,21,0,1,4,5,1,6,12,19,5,1,10,16,8,0,9,0,2,20,22
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,ALL,-,-,53,36,6,11,-,36,8,24,68,6,1,9,16,11,22,41,74,11,6,27,44,27,0,28,0,0,65,65
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,1,-,-,20,13,2,5,-,13,3,9,25,2,1,2,5,5,7,13,25,4,1,11,16,8,0,8,0,0,24,24
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,2,-,-,18,10,3,5,-,10,3,6,19,3,0,3,6,5,6,13,24,4,4,7,15,8,0,8,0,0,19,19
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,3,-,-,15,13,1,1,-,13,2,9,24,1,0,4,5,1,9,15,25,3,1,9,13,11,0,12,0,0,22,22
2022,Men,5,2022/7/30,Semifinals,Seoul,Korea,Cuba,Czech Republic,3,0,25,25,25,-,-,22,18,18,-,-,ALL,-,-,59,41,16,2,-,41,10,16,67,16,1,8,25,2,14,57,73,6,3,38,47,23,0,23,0,2,66,68
2022,Men,5,2022/7/30,Semifinals,Seoul,Korea,Cuba,Czech Republic,3,0,25,25,25,-,-,22,18,18,-,-,1,-,-,19,14,4,1,-,14,4,8,26,4,1,2,7,1,3,20,24,1,2,15,18,11,0,11,0,0,26,26
2022,Men,5,2022/7/30,Semifinals,Seoul,Korea,Cuba,Czech Republic,3,0,25,25,25,-,-,22,18,18,-,-,2,-,-,20,13,6,1,-,13,3,3,19,6,0,3,9,1,4,20,25,1,1,13,15,4,0,4,0,1,18,19
2022,Men,5,2022/7/30,Semifinals,Seoul,Korea,Cuba,Czech Republic,3,0,25,25,25,-,-,22,18,18,-,-,3,-,-,20,14,6,0,-,14,3,5,22,6,0,3,9,0,7,17,24,4,0,10,14,8,0,8,0,1,22,23
2022,Men,5,2022/7/30,Semifinals,Seoul,Korea,Czech Republic,Cuba,0,3,22,18,18,-,-,25,25,25,-,-,ALL,-,-,36,28,5,3,-,28,19,22,69,5,0,7,12,3,13,44,60,9,2,48,59,18,0,19,0,0,66,66
2022,Men,5,2022/7/30,Semifinals,Seoul,Korea,Czech Republic,Cuba,0,3,22,18,18,-,-,25,25,25,-,-,1,-,-,17,12,3,2,-,12,5,9,26,3,0,2,5,2,5,16,23,2,1,18,21,9,0,9,0,0,26,26
2022,Men,5,2022/7/30,Semifinals,Seoul,Korea,Czech Republic,Cuba,0,3,22,18,18,-,-,25,25,25,-,-,2,-,-,12,9,2,1,-,9,8,6,23,2,0,2,4,1,3,14,18,5,1,15,21,4,0,4,0,0,22,22
2022,Men,5,2022/7/30,Semifinals,Seoul,Korea,Czech Republic,Cuba,0,3,22,18,18,-,-,25,25,25,-,-,3,-,-,7,7,0,0,-,7,6,7,20,0,0,3,3,0,5,14,19,2,0,15,17,5,0,6,0,0,18,18
2022,Men,6,2022/7/30,Semifinals,Seoul,Korea,Korea,Türkiye,0,3,24,21,22,-,-,26,25,25,-,-,ALL,-,-,50,44,3,3,-,44,16,29,89,3,1,9,13,3,11,54,68,12,5,49,66,38,0,42,0,2,92,94
2022,Men,6,2022/7/30,Semifinals,Seoul,Korea,Korea,Türkiye,0,3,24,21,22,-,-,26,25,25,-,-,1,-,-,17,16,0,1,-,16,6,5,27,0,0,0,0,1,6,17,24,2,1,17,20,10,0,12,0,0,27,27
2022,Men,6,2022/7/30,Semifinals,Seoul,Korea,Korea,Türkiye,0,3,24,21,22,-,-,26,25,25,-,-,2,-,-,17,14,3,0,-,14,6,10,30,3,0,4,7,0,2,20,22,7,3,12,22,13,0,15,0,0,30,30
2022,Men,6,2022/7/30,Semifinals,Seoul,Korea,Korea,Türkiye,0,3,24,21,22,-,-,26,25,25,-,-,3,-,-,16,14,0,2,-,14,4,14,32,0,1,5,6,2,3,17,22,3,1,20,24,15,0,15,0,2,35,37
2022,Men,6,2022/7/30,Semifinals,Seoul,Korea,Türkiye,Korea,3,0,26,25,25,-,-,24,21,22,-,-,ALL,-,-,58,41,12,5,-,41,8,35,84,12,2,15,29,5,9,61,75,10,3,44,57,29,0,32,0,1,82,83
2022,Men,6,2022/7/30,Semifinals,Seoul,Korea,Türkiye,Korea,3,0,26,25,25,-,-,24,21,22,-,-,1,-,-,18,13,4,1,-,13,1,10,24,4,0,4,8,1,6,19,26,3,1,14,18,7,0,7,0,0,23,23
2022,Men,6,2022/7/30,Semifinals,Seoul,Korea,Türkiye,Korea,3,0,26,25,25,-,-,24,21,22,-,-,2,-,-,21,14,4,3,-,14,4,12,30,4,1,5,10,3,2,19,24,4,0,16,20,8,0,8,0,0,30,30
2022,Men,6,2022/7/30,Semifinals,Seoul,Korea,Türkiye,Korea,3,0,26,25,25,-,-,24,21,22,-,-,3,-,-,19,14,4,1,-,14,3,13,30,4,1,6,11,1,1,23,25,3,2,14,19,14,0,17,0,1,29,30
2022,Men,7,2022/7/31,Final 3rd-4th,Seoul,Korea,Czech Republic,Korea,2,3,19,16,26,25,20,25,25,24,23,22,ALL,28/103 (27%),75/112 (67%),75,62,11,2,-,62,19,40,121,11,1,13,25,2,16,89,107,29,5,65,99,29,1,39,0,1,122,123
2022,Men,7,2022/7/31,Final 3rd-4th,Seoul,Korea,Czech Republic,Korea,2,3,19,16,26,25,20,25,25,24,23,22,1,6/20 (30%),13/24 (54%),14,12,1,1,-,12,8,12,32,1,0,6,7,1,2,17,20,7,1,14,22,11,1,14,0,0,31,31
2022,Men,7,2022/7/31,Final 3rd-4th,Seoul,Korea,Czech Republic,Korea,2,3,19,16,26,25,20,25,25,24,23,22,2,3/16 (19%),13/25 (52%),12,11,1,0,-,11,4,6,21,1,0,2,3,0,2,14,16,6,2,14,22,3,0,6,0,1,21,22
2022,Men,7,2022/7/31,Final 3rd-4th,Seoul,Korea,Czech Republic,Korea,2,3,19,16,26,25,20,25,25,24,23,22,3,7/26 (27%),19/24 (79%),18,15,2,1,-,15,1,6,22,2,0,1,3,1,3,22,26,5,2,12,19,4,0,5,0,0,23,23
2022,Men,7,2022/7/31,Final 3rd-4th,Seoul,Korea,Czech Republic,Korea,2,3,19,16,26,25,20,25,25,24,23,22,4,7/24 (29%),18/24 (75%),16,11,5,0,-,11,3,10,24,5,1,2,8,0,5,19,24,6,0,13,19,6,0,8,0,0,25,25
2022,Men,7,2022/7/31,Final 3rd-4th,Seoul,Korea,Czech Republic,Korea,2,3,19,16,26,25,20,25,25,24,23,22,5,5/17 (29%),12/15 (80%),15,13,2,0,-,13,3,6,22,2,0,2,4,0,4,17,21,5,0,12,17,5,0,6,0,0,22,22
2022,Men,7,2022/7/31,Final 3rd-4th,Seoul,Korea,Korea,Czech Republic,3,2,25,25,24,23,22,19,16,26,25,20,ALL,37/112 (33%),75/103 (73%),86,76,5,5,-,76,21,28,125,5,1,15,21,5,19,94,118,22,2,67,91,40,1,46,0,0,125,125
