Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2022,Women,5,44772,Semifinals,Zadar,Croatia,Croatia,Puerto Rico,3,1,26,25,23,25,-,24,17,25,17,-,ALL SETS,80,58,19,3,,52.53,58,22,66,146,179.6,19,21,0,40,-47.62,3,10,85,98,-43.13,35,1,41,77,187.79,2,11,13,-433.33,4,1,135,140,-96.97
2022,Women,5,44772,Semifinals,Zadar,Croatia,Croatia,Puerto Rico,3,1,26,25,23,25,-,24,17,25,17,-,SET 1,23,17,5,1,,62.5,17,7,23,47,182.22,5,4,0,9,100,1,3,22,26,-71.67,7,1,14,22,79.17,0,3,3,-200,2,1,43,46,-95.24
2022,Women,5,44772,Semifinals,Zadar,Croatia,Croatia,Puerto Rico,3,1,26,25,23,25,-,24,17,25,17,-,SET 2,19,15,3,1,,62.76,15,5,16,36,192.04,3,4,0,7,0,1,2,21,24,-20,8,0,10,18,148.81,1,3,4,-133.33,1,0,34,35,3.03
2022,Women,5,44772,Semifinals,Zadar,Croatia,Croatia,Puerto Rico,3,1,26,25,23,25,-,24,17,25,17,-,SET 3,16,11,5,0,,-4.02,11,6,18,35,162.5,5,9,0,14,-213.33,0,3,21,24,-75,12,0,8,20,316.36,0,3,3,-200,1,0,33,34,3.12
2022,Women,5,44772,Semifinals,Zadar,Croatia,Croatia,Puerto Rico,3,1,26,25,23,25,-,24,17,25,17,-,SET 4,22,15,6,1,,142.11,15,4,9,28,184.41,6,4,0,10,113.33,1,2,21,24,-25,8,0,9,17,200,1,2,3,-100,0,0,25,25,0
2022,Women,7,44773,Final 3rd-4th,Zadar,Croatia,Puerto Rico,Colombia,3,1,27,23,25,25,-,25,25,23,18,-,ALL SETS,81,67,10,4,,151.68,67,18,85,170,345.31,10,26,0,36,-341.67,4,10,85,99,-54.73,19,1,66,86,28.45,6,13,21,-220,5,0,165,170,3.12
2022,Women,7,44773,Final 3rd-4th,Zadar,Croatia,Puerto Rico,Colombia,3,1,27,23,25,25,-,25,25,23,18,-,SET 1,20,18,2,0,,13.44,18,5,19,42,167.86,2,10,0,12,-333.33,0,4,22,26,-158.33,2,0,21,23,18.18,2,2,5,-66.67,2,0,43,45,5
2022,Women,7,44773,Final 3rd-4th,Zadar,Croatia,Puerto Rico,Colombia,3,1,27,23,25,25,-,25,25,23,18,-,SET 2,19,16,2,1,,46.83,16,4,21,41,144.44,2,6,0,8,-100,1,4,19,24,-83.34,6,0,17,23,106.67,0,3,3,-300,2,0,38,40,5.26
2022,Women,7,44773,Final 3rd-4th,Zadar,Croatia,Puerto Rico,Colombia,3,1,27,23,25,25,-,25,25,23,18,-,SET 3,20,16,4,0,,44.18,16,4,25,45,125.68,4,6,0,10,-133.33,0,1,23,24,-16.67,6,1,16,23,-3.59,1,5,7,-250,0,0,44,44,0
2022,Women,7,44773,Final 3rd-4th,Zadar,Croatia,Puerto Rico,Colombia,3,1,27,23,25,25,-,25,25,23,18,-,SET 4,22,17,2,3,,200.9,17,5,20,42,333.86,2,4,0,6,-100,3,1,21,25,10,5,0,12,17,158.18,3,3,6,0,1,0,40,41,2.63
